Ref. SR Number,SR Number,Email Subject,AI Categorization,Is the AI Categorization  Correct?,"If NO, what should be the Correct Category?",AI Sub-categorization,Is the AI Sub-categorization Correct?,"If NO, what should be the Correct Sub-category?",AI Technician Group,Is the Group Routing Correct?,"If NO, what should be the Correct Technician Group?",Is the Initial Notes Accurate?,Initial Notes,Is the Priority Level correct?,"If NO, what should be the Correct Priority Level?",Pass/Fail,
SR-846577,SR-836754,CEBU Skyrise 4B 17F(TOA) - 17F Office A4 - TOA GLOBAL CEBU,Cebu Admin,No,TPMO,Office Setup,No,General IT Services,N/A,No,Technical Project Management,No,"The Cebu Admin team needs to set up Office A.
4 on the 17F of Skyrise 4B for TOA Global Cebu.
This is a planned request for office setup on Monday morning.",No,,Fail,
,,,,,,,,,,,,,,,,,
SR-847343,SR-836755,"Armstrong (ACS): Requesting Almer Rawlogs March 1-16,2024",Development,No,Biometric,OSP,No,Logs Report Generation,Dev Team,No,Access Control and Security,No,"The request is for the rawlogs of Almer for March 1-16, 2024 at Armstrong (ACS).
The request is for Phase 1 located at Training Room Right 7 Floor and Phase 2 located at Office C 12 Floor.
The priority for this request is P3 - Planned, as it is a planned data retrieval task.
The ticket should be assigned to the Dev Team for further action.",Yes,,Fail,
,,,,,,,,,,,,,,,,,
SR-851797,SR-836756,One Ayala(TS): Review of CCTV Footage,Security,No,CCTV Footage Review Request,CCTV Footage Review,No,CCTV Footage Extraction,CCTV Admin,Yes,CCTV Admin,Yes,"The request is for reviewing CCTV footage at One Ayala to locate a lost Xiaomi Smart Pen Tablet Stylus.
The urgency is moderate as time is of the essence to recover the item.
The CCTV Admin team is assigned to review the footage and assist in locating the lost item.",No,,Fail,
,,,,,,,,,,,,,,,,,
SR-852453,SR-836757,UPTWFH (SO-Vision PF): Windows Update assistance,Development,No,Hardware,OSP,No,Desktop/Laptop Problem,Dev Team,No,On-Site Support,No,"The ticket is related to providing Windows Update assistance to a staff member working from home.
The requestor, Edward Christian Guzman, is coordinating with the IT team to assist Jose Andres with his concern.
The priority for this ticket is classified as P3 - Planned, as it involves planned assistance with Windows Updates.
The ticket falls under the Development category, specifically under OSP.
The Dev Team is assigned to handle this request.",Yes,,Fail,
,,,,,,,,,,,,,,,,,
SR-852985,SR-836758,VPN access,Access Request,No,User Account,VPN,No,NT Login Password Reset,IT Support team,No,"NOC Systems
Service Desk",No,"The user is experiencing issues with VPN access and is unable to log in.
It is crucial to address this promptly to ensure seamless remote work.
The IT Support team should investigate the login issue and provide assistance to the user.
",No,,Fail,
,,,,,,,,,,,,,,,,,
SR-855156,SR-836759,Clients List: IT Additional Services,Development,No,TPMO,OSP,No,General IT Services,Dev Team,No,Technical Project Management,No,"The request is for a list of clients with IT services in specific locations and their monthly fees.
This falls under the Development category, specifically OSP, with a priority level of P3 - Planned.
The ticket has been assigned to the Dev Team for further action.",Yes,,Fail,
,,,,,,,,,,,,,,,,,
SR-855190,SR-836760,TS Sigma: Activation of Access – TSD Global PH,TS Sigma Team,No,Biometric,Activation of Access,No,Bio Enrollment,TS Sigma Team,No,"Access Control and Security
On-site Support",No,"The request is for the activation of access for Mr.
JP Arizobal in Cerus, Hermes, and Iris on 03/27/2024.
The priority for this request is P3 - Planned, as it is a planned access activation.
The TS Sigma Team is assigned to handle this request.",Yes,,Fail,
,,,,,,,,,,,,,,,,,
SR-858103,SR-836761,Fw: KMC Hub - New Booking - KMC-B6B1,Noted,No,On Boarding,N/A,No,New Joinee,N/A,No,Service Desk,No,N/A,No,,Fail,
,,,,,,,,,,,,,,,,,
SR-858122,SR-836762,Request for Upload of Biometrics in 10/F Sheridan & MedRisk's Offices - 04/01/2024,Request for Upload of Biometrics,No,Biometric,Paralegals in 10/F Sheridan & MedRisk's Offices,No,Bio Upload,KMC IT/ACS Team,No,N/A,No,"The request is for uploading the biometrics of Paralegals in 10/F Sheridan and MedRisk's offices.
The priority is set to P3 - Planned as it is a routine task.
The KMC IT/ACS Team is assigned to handle this request.",Yes,,Fail,
,,,,Yes,,,Yes,,,Yes,,,,,,,
SR-858133,SR-836763,connect to printer,Network,No,Printer,Wi-Fi Performance,No,Access Request,On-site Support,No,"On-Site Support
Voice and Email",No,"The user is facing slow Wi-Fi connectivity issues in the office.
It is affecting their work productivity.
The On-site Support team should investigate the Wi-Fi performance and troubleshoot the connection to improve speed and reliability.
",No,,Fail,
,,,,Yes,,,Yes,,,Yes,,,,,,,
SR-858173,SR-836764,"KMC SM NE | ? MOMENTARY POWER INTERRUPTION (MONTHLY GENSET LOAD TESTING) - APRIL 2, 2024",N/A,No,Notification,N/A,No,Power Maintenance,N/A,No,NOC Systems,No,N/A,No,,Fail,Email content: Image only
,,,,Yes,,,Yes,,,Yes,,,,,,,
SR-858434,SR-836765,Cyber Sigma (TS): Request to Move to Central OU,Server,No,Services Management,Move to central OU,No,Active Directory Services,Server team,No,NOC Systems,No,"The request is to move a laptop to the Central OU.
This falls under the Server category and is planned, not critical.
The Server Team has been assigned to handle this request.",No,,Fail,
,,,,Yes,,,Yes,,,Yes,,,,,,,
SR-858501,SR-836766,"PICADILLY: PRINTER ASSISTANCE
",Hardware,No,Printer,Printer Assistance,No,Issue,N/A,No,On-Site Support,No,"The user at Picadilly on the 25th floor is experiencing issues with the printer, which is causing delays in their printing tasks.
It is recommended to promptly address this issue to ensure smooth operations in that area.
Possible solutions include checking the printer's connectivity, toner levels, and any error messages displayed on the printer's screen.
",No,,Fail,
,,,,Yes,,,Yes,,,Yes,,,,,,,
SR-859576,SR-836767,Gamma IT (SO: Kelly Partners): Blue screen,Development,No,Hardware,OSP,No,Desktop/Laptop Problem,N/A,No,On-Site Support,No,"The request has been properly logged as a Blue Screen.
A technician will be dispatched to assist Kimberly with her concern.",No,,Fail,
,,,,Yes,,,Yes,,,Yes,,,,,,,
SR-859616,SR-836768,TS (Team Building): For PO | Bus,TS,No,Procurement,Team Building,No,Payment/Invoices/Liquidation,N/A,No,TS Procurement,No,"The request is for processing a purchase order for 2 buses for a team building event.
The vendor is Island Dragon Transport, and a discount is requested.
The priority for this request is P3 - Planned.",Yes,,Fail,
,,,,Yes,,,Yes,,,Yes,,,,,,,
SR-859666,SR-836769,Onboarding - MARIE ANGELINE MONTEZA- HELPFUEL SERVICES DMCC,Onboarding,No,On Boarding,New Employee Setup,No,New Joinee,IT Service Desk,No,Service Desk,Yes,"The ticket is an onboarding request for a new employee, Marie Angeline Monteza, at Helpfuel Services DMCC.
She will start on April 9, 2024, and will require biometrics and login access, desktop and laptop setup, and will not have an IP phone.
She will not be working from home.
The priority for this ticket is P3 - Planned, as the onboarding process is scheduled for a specific date.
The IT Service Desk Team is responsible for handling this request.",Yes,,Fail,
,,,,Yes,,,Yes,,,Yes,,,,,,,
SR-860549,SR-836770,Having Issues Printing,Hardware,No,Printer,Printer,No,Issue,N/A,No,On-Site Support,No,N/A,No,,Fail,
,,,,,,,Yes,,,Yes,,,,,,,
SR-860713,SR-836771,Onboarding - GARY JOSHUA JAVELOSA RAMOS- LUCIHUB,Onboarding,No,On Boarding,Work From Home,No,New Joinee,Talent Acquisition,No,Service Desk,No,"The onboarding request for GARY JOSHUA JAVELOSA RAMOS for the position of VIDEO EDITOR at LUCIHUB has been received.
The start date is set for 04-15-2024, and the request is for work from home setup.
The priority for this request is classified as P3 - Planned, and it has been assigned to the Talent Acquisition Team for processing.
",Yes,,Fail,
,,,,,,,,,,,,,,,,,
SR-860798,SR-836772,PRINTER CONNECTION TO TREASURY,Network,No,Printer,Wi-Fi Performance,No,Access Request,On-site Support,No,"On-Site Support
Voice and Email",No,"The user is facing slow Wi-Fi connectivity issues in the office, affecting their ability to load web pages and download files efficiently.
The problem seems to be related to Wi-Fi performance.
The On-site Support team should investigate and troubleshoot the Wi-Fi network to improve the connection speed and resolve the issue for the user.
",No,,Fail,
,,,,,,,,,,,,,,,,,
SR-862913,SR-836773,Requesting for Assistance for Laptop - Jaymerson Gonzales,Request for Assistance,No,Hardware,Laptop,No,Desktop/Laptop Problem,TS Group,No,On-Site Support,No,"The user, Jaymerson Gonzales, is experiencing slow performance on their laptop and is requesting assistance.
It is categorized as a general priority ticket under the TSPT category.
The TS Group is responsible for addressing this issue.
Possible solutions include checking for background processes consuming resources, optimizing startup programs, and performing system maintenance.",No,,Fail,
,,,,,,,,,,,,,,,,,
SR-834675,SR-836774,Re: Access records for Anaplan - Month of Feb,Access Control and Security,No,Biometric,Access Records for Anaplan,No,Logs Report Generation,ACS Team,No,Access Control and Security,No,"The request has been acknowledged, and the Access Control and Security (ACS) Team has been assigned to assist with the access records for Anaplan for the month of February 2024.
The details provided include the company name, office location, and the specific month for the access records.
The ACS Team should prioritize this request as planned and ensure timely assistance to monitor the utilization of Anaplan's office access.
",No,,,
,,,,,,,,,,,,,,,,,
SR-834723,SR-836775,PICA (HR): KMC Email Distro - Lagarto Jonil Lagunsad,Request for PICA (HR),No,Email,Adding KMC Email Distro,No,Distrolist/Mailbox,HR,No,Voice and Email,No,"This ticket is a request to add email distributions for a new hire in the Legal and Compliance department.
The priority for this request is Planned (P3) as it is not urgent but needs to be completed in a timely manner.
The responsible group for handling this ticket is HR.",Yes,,,
,,,,,,,,,,,,,,,,,
SR-834739,SR-836776,TS 5ECOM | Request for Utility Biometric Logs,TS,No,Biometric,Request for Biometric Logs,No,Logs Report Generation,Service Desk,No,Access Control and Security,No,"The ticket falls under the TS category with a sub-category of Request for Biometric Logs.
The priority level assigned is P2 - General, indicating a standard urgency and importance.
The TS Team is responsible for addressing this request.
The request is for 5ecom Utilities Biometric Logs from a specific date range in 2024.",No,P3 - Planned,,
,,,,,,,,,,,,,,,,,
SR-834757,SR-836777,Gamma (Access Offshoring): Storage of 3 monitors of Access Offshoring,On-site Support,No,Deployment / Movement,Storage Assistance,No,Movement Request,On-site Support,Yes,On-site Support,Yes,"The request is for onsite support to store three monitors of Access Offshoring in the IT room over the weekend.
Approval from the client has been obtained.
The monitors are currently in the boardroom on the 29th floor of Gamma.
The Onsite team is responsible for moving and storing the monitors in an appropriate location.",No,,,
,,,,,,,,,,,,,,,,,
SR-834831,SR-836778,RT1(IFIVE): Re:[## 177183 ##] Unable to sign in to PC,Network,Yes,Network,Wi-Fi Performance,No,Connection Issue,On-site Support,No,"On-site Support
NOC",Yes,"The ticket is related to a Wi-Fi performance issue where a user is unable to sign in to a PC due to domain unavailability.
The request has been correctly categorized as a Network issue under Wi-Fi Performance.
The On-site Support team has been assigned to address this issue.",No,,,
,,,,,,,,,,,,,,,,,
SR-834880,SR-836779,CHANGE TIMEZONE REQUEST - REMOTELY,N/A,No,Software,N/A,No,Configuration Assistance,N/A,No,"On-site Support
Voice and Email",No,N/A,No,,,
,,,,,,,,,,,,,,,,,
SR-834895,SR-836780,Removal of Dell Server from Office L - Cyber Sigma,Hardware,No,Deployment / Movement,Server Removal,No,Deployment Request,AGS Team,No,On-site Support,No,"The Dell servers need to be removed from Office L - Cyber Sigma to make space for AGS.
The service tags provided are 57R20F13Z48FD15XVY1F170LFGC138XLP91.
The removal should be planned and coordinated with the AGS team.",No,,,
,,,,,,,,,,,,,,,,,
SR-834908,SR-836781,RT1 6F (IFIVE) Re:[## 177205 ##] Hard Phone Issue - No option to answer calls | D/V 082,Network,No,Telephony ,Wi-Fi Performance,No,Hardphone Issue,On-site Support,Yes,"On-site Support
Voice and Email",No,"The user is reporting slow Wi-Fi connectivity in the office, affecting their ability to load web pages and download files.
This issue needs to be addressed promptly to ensure smooth operations.
The On-site Support team should investigate the Wi-Fi performance in the office and take necessary actions to improve the connection speed.",No,,,
,,,,,,,,,,,,,,,,,
SR-835012,SR-836782,ZETA(IFIVE): WPS Escalation V-080,Development,No,Software,Software Installation,No,Application Installation/Uninstallation,Dev Team,No,On-site Support,No,"The request is for the installation of WPS software that has expired.
The priority for this request is set to P3 - Planned, as it is not a critical issue.
The ticket has been assigned to the Dev Team for further action.
",Yes,,,
,,,,,,,,,,,,,,,,,
SR-835247,SR-836783,ALERT: Node of SAV-3CX-01.savills.local is Down,Alert,No,Network,Server Node Down,No,Monitoring Alerts,Network Team,No,NOC,No,"The server node SAV-3CX-01.
savills.
local is currently down, which is a critical issue requiring immediate attention.
The network team should investigate the cause of the outage and work towards restoring the node to ensure minimal downtime for users.
It is crucial to address this issue promptly to maintain the stability and functionality of the server.",No,,,
,,,,,,,,,,,,,,,,,
SR-835250,SR-836784,Arthaland 10F (TD Real Estate): Request for Projector and Microphone/Speaker,Tech,No,TPMO,Audio Visual Equipment,No,Hardware Rental,Tech Team,No,Technical Project Management,No,"The request is for audio-visual equipment (projector, microphone, and speaker) for an upcoming event on April 6 and 7 at Arthaland.
The equipment needs to be tested before the event to ensure proper functionality.
The Tech Team should coordinate the setup and testing of the equipment to support the event successfully.",No,,,
,,,,,,,,,,,,,,,,,
SR-836082,SR-836785,One Ayala (SALES): KMC ERP - New Approved COWORKING DEDICATED Contract,Sales,No,Notification,New Approved Coworking Dedicated Contract,No,New Client,Sales Team,No,Technical Project Management,No,"The ticket is a request for a new approved coworking dedicated contract for KMC ERP at One Ayala.
The contract details and client information are provided in the content.
The priority is set to P3 - Planned, and the ticket is assigned to the Sales Team for handling.
",Yes,,,
,,,,,,,,,,,,,,,,,
SR-836191,SR-836786,KMC Picadilly | Access for Epicos website,Access Requests,No,Development,Epico's Website,No,EPICOS,IT Team,No,N/A,No,"The request is for granting access to Epico's website for the mentioned individuals.
It is categorized as a planned task with a priority level of P3.
The IT Team is assigned to handle this request.",Yes,,,
,,,,,,,,,,,,,,,,,
SR-836193,SR-836787,OSP Access,Development,No,User Account,OSP,No,OSP Access Request,Dev Team,No,Service Desk,No,"The ticket falls under the Development category, specifically related to OSP.
The priority level is set to P3 - Planned, indicating that this request is scheduled for implementation in the near future.
The ticket has been assigned to the Dev Team for further assistance.",Yes,,,
,,,,,,,,,,,,,,,,,
SR-836212,SR-836788,KMC Vcorp (CS) -Request for Revision of Work Permit Form,Development,Yes,Development,OSP,Yes,OSP,Webdev Team,No,N/A,No,"The Webdev Team is requested to revise the Work Permit Form by changing 'How Work Permit' to 'Hot Work Permit'.
The requested adjustment is specific to a particular section.
Please refer to the provided snippet for reference.
If further details are required, please reach out for clarification.",No,,,
,,,,,,,,,,,,,,,,,
SR-836335,SR-836789,PICA (FINANCE) - RETURNED IT ASSET FOR MAAM FRANCINE KIM VARILLA,Finance,No,Asset Management,PICA Requested for Returned Item,No,Inventory,Finance Team,No,On-Site Support,No,"The ticket is related to a returned IT asset for Ma'am Francine Kim Varilla.
The Dell Latitude 3310 13'' Screen Display - 9GZ45B3OSP has been updated.
The priority is set to P2 - General, and the ticket is assigned to the Finance team for handling.
",No,P3 - Planned,,
,,,,,,,,,,,,,,,,,
SR-836908,SR-836790,ARTHA (MANCOM) LAPTOP CHARGER,"Noted, I will inform the team",No,Hardware,N/A,No,Equipment Loan/Retrieval,N/A,No,On-Site Support,No,"The request is for borrowing a laptop charger, with the intention to return it by 3pm today.
This falls under a planned request category, as it can be scheduled and does not require immediate attention.
The team can be informed about this request for coordination.",No,,,
,,,,,,,,,,,,,,,,,
SR-837453,SR-836791,JBT(TS): KMC JOLLIBEE TOWER 15F - MISSING LUNCH BOX INCIDENT,CCTV Review,No,CCTV,Job Theft,No,CCTV Footage Extraction,N/A,No,CCTV Admin,No,"The incident involves a missing lunch box at the KMC Jollibee Tower 15F site, with CCTV footage showing a potential suspect.
It is recommended to review the footage further and discuss the situation with Mr.
Godofredo Dela Paz Jr.
to gather more information and clarify the situation.
It is important to handle this matter delicately and ensure all parties involved are informed and understood.",No,,,
,,,,,,,,,,,,,,,,,
SR-837462,SR-836792,NTC0305246182025 (RECEIVE) - APEX RBS,Development,No,Procurement,OSP,No,Payment/Invoices/Liquidation,Dev Team,No,TS Procurement,No,"The ticket falls under the Development category, specifically related to OSP.
The priority level is set to P3 - Planned, indicating that this request is scheduled for future development work.
The ticket has been assigned to the Dev Team for further action.
",No,,,
,,,,,,,,,,,,,,,,,
SR-838367,SR-836793,Dev Team Uniform and Jacket Request,Development,No,Procurement,Uniform and Jacket Request,No,Purchase Request,N/A,No,TS Procurement,No,"The Dev Team Uniform and Jacket Request has been categorized as a planned priority.
Sharen has been assigned to coordinate the distribution of uniforms and jackets to the team members listed in the request.
Please ensure timely communication and delivery to meet the team's needs.",No,,,
,,,,,,,,,,,,,,,,,
SR-840938,SR-836794,NT Login Password Reset,Network,No,User Account,NT Login Password Reset,No,N/A,On-site Support,No,Service Desk,No,"The user is requesting assistance with resetting their NT login password.
This falls under the Network category, specifically related to NT login issues.
The priority is set to P2 - General, and the ticket should be assigned to the On-site Support team for resolution.",Yes,,,
,,,,,,,,,,,,,,,,,
SR-845901,SR-836795,Aura 11F (GC International) : Headset request,Noted with thanks,No,Procurement,IT Procurement,No,Quotation Request,IT Procurement Team,No,TS Procurement,No,"The IT Procurement team has been requested to assist with the procurement of 3 headsets (PRO22039) for Aura 11F (GC International).
The priority for this request is set to P3 - Planned, as it involves planned procurement activities.
The IT Procurement Team is responsible for coordinating with the requester to provide the necessary details and facilitate the procurement process.",No,P4 - Project,,
,,,,,,,,,,,,,,,,,
SR-850572,SR-836796,Pica(TS): Add to Proworking Distro: BRIDGE CONSULTING. (Anna Danica Ramos),Email Administration,No,Email,Distribution List Management,No,Distrolist/Mailbox,Email Admin,No,Voice and Email,No,"The ticket is related to adding BRIDGE CONSULTING to the Proworking distribution list.
The request comes from Joshua Lawrence, an Inside Sales Representative at kmc.
solutions.
The task involves adding Anna Danica Ramos to the distribution list for email blasts and updates.
The priority is set to P3 - Planned, and the group assignment is Email Admin.",Yes,,,
,,,,,,,,,,,,,,,,,
SR-853101,SR-836797,"OFF-BOARDING TICKET - FERNANDO, MAIRIELLE ASHLEY DE LEON/KMC COMMUNITY, INC.: 03/29/2024 - (5-DAY NOTICE)",HR,No,Off Boarding,N/A,No,Employee Leaving,N/A,No,Service Desk,No,N/A,No,,,
,,,,,,,,,,,,,,,,,
SR-858417,SR-836798,Re: APPROVED PR-450345 Amazon - POC - Portable ConferenceCam with Bluetooth,IT Procurement,No,Asset Management,Asset Tagging,No,Inventory,IT Procurement,No,On-Site Support,No,"The request is related to asset tagging for the approved purchase of a Portable ConferenceCam with Bluetooth.
The IT Procurement team should proceed with the asset tagging process as planned.",No,,,
